sensor_id,event_time,vehicle_count,avg_speed,congestion_index,traffic_status,hour_of_day
J1_Galle_Road,2026-02-07 17:38:36.973711,250,8,31.25,True,8
J2_Duplication_Road,2026-02-07 17:38:36.973711,220,15,14.67,False,8
J4_Marine_Drive,2026-02-07 17:38:36.973711,160,35,4.57,False,8
J3_Baseline_Road,2026-02-07 18:38:36.973711,180,25,7.2,False,9
J1_Galle_Road,2026-02-08 02:38:36.973711,280,12,23.33,True,17
J2_Duplication_Road,2026-02-08 02:38:36.973711,240,18,13.33,False,17
J3_Baseline_Road,2026-02-08 03:38:36.973711,200,30,6.67,False,18
J4_Marine_Drive,2026-02-08 03:38:36.973711,190,40,4.75,False,18
J1_Galle_Road,2026-02-10 03:37:02.998837,49,50,0.98,,3
J2_Duplication_Road,2026-02-10 03:37:03.003393,47,19,2.47,,3
J3_Baseline_Road,2026-02-10 03:37:03.011058,34,16,2.12,,3
J4_Marine_Drive,2026-02-10 03:37:03.013709,43,54,0.8,,3
J1_Galle_Road,2026-02-10 03:37:05.017018,101,58,1.74,,3
J2_Duplication_Road,2026-02-10 03:37:05.018174,43,35,1.23,,3
J3_Baseline_Road,2026-02-10 03:37:05.019854,44,53,0.83,,3
J4_Marine_Drive,2026-02-10 03:37:05.021904,16,37,0.43,,3
J1_Galle_Road,2026-02-10 03:37:07.026164,102,15,6.8,,3
J2_Duplication_Road,2026-02-10 03:37:07.027322,49,23,2.13,,3
J3_Baseline_Road,2026-02-10 03:37:07.027562,57,33,1.73,,3
J4_Marine_Drive,2026-02-10 03:37:07.028544,34,41,0.83,,3
J1_Galle_Road,2026-02-10 03:37:09.031113,90,44,2.05,,3
J2_Duplication_Road,2026-02-10 03:37:09.031682,70,40,1.75,,3
J3_Baseline_Road,2026-02-10 03:37:09.031807,25,20,1.25,,3
J4_Marine_Drive,2026-02-10 03:37:09.031909,63,47,1.34,,3
J1_Galle_Road,2026-02-10 03:37:11.034558,92,47,1.96,,3
J2_Duplication_Road,2026-02-10 03:37:11.036169,72,21,3.43,,3
J3_Baseline_Road,2026-02-10 03:37:11.037845,22,41,0.54,,3
J4_Marine_Drive,2026-02-10 03:37:11.038365,12,52,0.23,,3
J1_Galle_Road,2026-02-10 03:37:13.040872,54,58,0.93,,3
J2_Duplication_Road,2026-02-10 03:37:13.041788,80,20,4.0,,3
J3_Baseline_Road,2026-02-10 03:37:13.042853,75,40,1.88,,3
J4_Marine_Drive,2026-02-10 03:37:13.043256,18,17,1.06,,3
J1_Galle_Road,2026-02-10 03:37:15.042097,70,47,1.49,,3
J2_Duplication_Road,2026-02-10 03:37:15.043875,35,22,1.59,,3
J3_Baseline_Road,2026-02-10 03:37:15.045672,57,53,1.08,,3
J4_Marine_Drive,2026-02-10 03:37:15.046494,53,8,6.62,,3
J1_Galle_Road,2026-02-10 03:37:17.049946,65,60,1.08,,3
J2_Duplication_Road,2026-02-10 03:37:17.050794,67,47,1.43,,3
J3_Baseline_Road,2026-02-10 03:37:17.051189,45,43,1.05,,3
J4_Marine_Drive,2026-02-10 03:37:17.051682,48,8,6.0,,3
J1_Galle_Road,2026-02-10 03:37:19.056421,93,31,3.0,,3
J2_Duplication_Road,2026-02-10 03:37:19.058075,59,37,1.59,,3
J3_Baseline_Road,2026-02-10 03:37:19.058804,42,54,0.78,,3
J4_Marine_Drive,2026-02-10 03:37:19.059260,10,57,0.18,,3
J1_Galle_Road,2026-02-10 03:37:21.064144,78,20,3.9,,3
J2_Duplication_Road,2026-02-10 03:37:21.066294,88,5,17.6,,3
J3_Baseline_Road,2026-02-10 03:37:21.066836,24,16,1.5,,3
J4_Marine_Drive,2026-02-10 03:37:21.067216,56,50,1.12,,3
J1_Galle_Road,2026-02-10 03:37:23.070016,68,57,1.19,,3
J2_Duplication_Road,2026-02-10 03:37:23.070778,45,51,0.88,,3
J3_Baseline_Road,2026-02-10 03:37:23.071137,42,60,0.7,,3
J4_Marine_Drive,2026-02-10 03:37:23.071534,47,31,1.52,,3
J1_Galle_Road,2026-02-10 03:37:25.074293,80,23,3.48,,3
J2_Duplication_Road,2026-02-10 03:37:25.075258,50,21,2.38,,3
J3_Baseline_Road,2026-02-10 03:37:25.076767,42,55,0.76,,3
J4_Marine_Drive,2026-02-10 03:37:25.079166,52,5,10.4,,3
J1_Galle_Road,2026-02-10 03:37:27.080732,67,46,1.46,,3
J2_Duplication_Road,2026-02-10 03:37:27.081167,49,23,2.13,,3
J3_Baseline_Road,2026-02-10 03:37:27.081290,23,50,0.46,,3
J4_Marine_Drive,2026-02-10 03:37:27.081402,19,43,0.44,,3
J1_Galle_Road,2026-02-10 03:37:29.084036,97,5,19.4,,3
